month,long_ticker,short_ticker,cluster,mom1_diff
2018-07-01,COP,EOG,13,0.022753260477540227
2018-07-01,OKE,KMI,14,0.03493832125491614
2018-07-01,AEP,DUK,15,0.005743486296023281
2018-07-01,EIX,SO,16,0.0038729332914626546
2018-07-01,EXC,SRE,17,0.06936686415765525
2018-08-01,AAPL,MSFT,0,0.047527525751815736
2018-08-01,NKE,TMUS,1,0.03894413869692559
2018-08-01,CSCO,HD,2,0.021777411768316157
2018-08-01,UNH,TMO,3,0.10010453598227409
2018-08-01,UNH,LMT,3,0.0716511679540155
2018-08-01,ABT,TMO,3,0.052814069957380694
2018-08-01,RTX,HON,4,0.02281714201974383
2018-08-01,BLK,BA,5,0.05441583065705591
2018-08-01,ITW,BA,5,0.027467576780445535
2018-08-01,BLK,ITW,5,0.026948253876610373
2018-08-01,GE,ETN,6,0.11140593004767307
2018-08-01,EMR,ETN,6,0.06743265217818672
2018-08-01,GE,CAT,6,0.0650062311889743
2018-08-01,TSLA,AMZN,7,0.17633514056161015
2018-08-01,META,AMZN,7,0.15755327764567373
2018-08-01,TSLA,META,7,0.01878186291593642
2018-08-01,ABBV,GILD,8,0.09304336758161913
2018-08-01,MS,BAC,9,0.022469318429217733
2018-08-01,GS,BAC,9,0.018990245739554545
2018-08-01,MS,GS,9,0.0034790726896631874
2018-08-01,XOM,CVX,10,0.01334971809947183
2018-08-01,SLB,COP,11,0.033544240000698444
2018-08-01,SLB,EOG,11,0.03068177604589084
2018-08-01,EOG,COP,11,0.0028624639548076036
2018-08-01,OKE,KMI,12,0.008836506595519822
2018-08-01,CL,KO,13,0.022496503514507493
2018-08-01,PG,KO,13,0.017552350624481683
2018-08-01,CL,PEP,13,0.015705570494225718
2018-08-01,T,VZ,14,0.02725366301512966
2018-08-01,PEG,EIX,15,0.1007359843893687
2018-08-01,PEG,D,15,0.09937656092667191
2018-08-01,PEG,SO,15,0.09702724998766832
2018-08-01,SRE,EXC,16,0.0021522521705495956
2018-09-01,MSFT,AAPL,0,0.13728214144872353
2018-09-01,INTC,TMUS,1,0.08767182276476793
2018-09-01,SBUX,TMUS,1,0.07332446042914742
2018-09-01,INTC,SBUX,1,0.014347362335620506
2018-09-01,HD,CSCO,2,0.10787949570141109
2018-09-01,TSLA,AMZN,3,0.12056193942093496
2018-09-01,META,AMZN,3,0.11411774564667576
2018-09-01,TSLA,META,3,0.006444193774259199
2018-09-01,RTX,HON,4,0.025814274692186556
2018-09-01,BLK,ITW,5,0.016144343633513136
2018-09-01,BLK,BA,5,0.014009094100271624
2018-09-01,BA,ITW,5,0.0021352495332415122
2018-09-01,GE,EMR,6,0.11934878699246154
2018-09-01,CAT,EMR,6,0.10292919102023312
2018-09-01,ETN,EMR,6,0.060833620564849866
2018-09-01,TMO,UNH,7,0.04081704983963186
2018-09-01,ABT,UNH,7,0.04040576942414287
2018-09-01,TMO,ABT,7,0.0004112804154889904
2018-09-01,JNJ,LLY,8,0.0519285488355794
2018-09-01,PFE,LLY,8,0.026507869168386433
2018-09-01,JNJ,PFE,8,0.02542067966719297
2018-09-01,MS,AXP,9,0.09903590096731996
2018-09-01,MS,COF,9,0.08924276374738238
2018-09-01,JPM,AXP,9,0.06819102388886455
2018-09-01,EOG,COP,10,0.1004103455811719
2018-09-01,SLB,COP,10,0.08198421400297518
2018-09-01,EOG,XOM,10,0.07670693837325515
